source	target
Q99729	Q12926
Q99729	Q8WXF8
Q99459	P07437
Q99459	O60341
Q99459	O14782
P25101	P29992
P25101	Q9H270
P14373	Q9NWS9
P14373	O14964
P14373	Q08380
Q14576	Q12926
Q02535	Q68DY1
Q02535	Q16666
Q02535	P19419
Q9NYL9	O14770
Q9NYL9	P62736
O43187	Q86VW0
O43187	Q9Y4K3
Q00534	Q8WXF8
Q00534	Q9NRA8
Q00534	P19419
Q15056	Q9H3H3
Q96EK5	P10398
Q96EK5	O14782
Q8WXF8	O43251
P35080	Q86VW0
P35080	Q9Y4K3
O14964	P07437
O14964	Q01850
O14964	P25054
O14964	P62987
O14964	P05067
Q01850	Q8TCT7
Q01850	P48454
Q5T7M9	Q92187
O60341	P13056
O60341	Q9H270
Q92187	P62736
Q8IXZ2	Q08380
Q8IXZ2	Q12926
Q8IXZ2	O14782
P10398	P62736
P10398	O95816
Q9Y4K3	P07437
Q9Y4K3	Q13501
Q9Y4K3	O95816
Q9Y4K3	Q13526
Q9Y4K3	P05067
Q9Y4K3	Q96SW2
Q9Y4K3	P68104
P05067	P07437
P05067	Q92478
P05067	Q16666
P05067	P07339
P05067	O00459
P05067	P02511
P05067	P48454
P05067	O14770
Q86VW0	Q9UER7
Q86VW0	Q9BRK4
Q96SW2	O14770
P60709	P07437
P60709	O14770
O14782	Q9NRI5
O14782	Q9H4B6
O14782	P25054
O14770	Q13501
O14770	Q9HAV0
O14770	P15336
O14770	Q14258
O14770	P08047
O14770	P62987
P05412	P07437
P05412	Q9HD23
P05412	P62736
Q8NFH5	Q16666
P49796	Q9NWS9
P49796	P29992
Q9NRA8	Q9H4B6
P04406	P07437
P04406	Q9Y6H6
Q14258	P29992
Q14258	O95816
Q8TCT7	Q9HD23
P15336	P07437
Q9NWS9	P35609
Q9NWS9	Q9BRK4
Q9NWS9	Q13526
O00459	P07437
P19474	Q9UER7
Q5SY16	Q9HD23
Q5SY16	Q16666
P62736	P28335
P62736	P35609
Q9H3H3	Q9Y6H6
Q9HD23	P28335
Q9Y6H6	P47897
Q9Y6H6	P68104
Q9Y6H6	Q9NS23
P07437	Q9NRI5
P07437	P68104
P07437	Q9NS23
Q16666	P07339
Q16666	P08047
Q9HAV0	P29992
O95816	P47897
O95816	Q08380
Q12926	O43251
